Time (seconds),Time Multiplied by 3 (seconds),Density (%)
0.00,0.00,69.62
0.98,2.94,66.31
1.93,5.80,69.62
2.84,8.51,69.62
3.78,11.33,72.94
4.59,13.76,76.25
5.34,16.03,72.94
6.07,18.22,62.99
6.83,20.48,62.99
7.59,22.78,59.68
8.36,25.07,69.62
9.11,27.32,76.25
9.90,29.70,66.31
10.67,32.02,59.68
11.46,34.37,62.99
12.25,36.75,62.99
13.02,39.07,62.99
13.84,41.51,69.62
14.61,43.84,66.31
15.41,46.22,69.62
16.21,48.62,66.31
16.96,50.87,66.31
17.75,53.25,56.36
18.51,55.52,62.99
19.28,57.84,62.99
20.05,60.14,66.31
20.83,62.50,72.94
21.61,64.83,66.31
22.39,67.17,69.62
23.16,69.49,69.62
23.94,71.82,62.99
24.70,74.09,62.99
25.46,76.39,72.94
26.24,78.71,66.31
27.03,81.09,66.31
27.81,83.42,69.62
28.57,85.71,69.62
29.49,88.48,72.94
30.44,91.31,72.94
31.31,93.92,69.62
32.13,96.38,66.31
32.97,98.90,72.94
33.78,101.33,66.31
34.54,103.62,62.99
35.33,105.98,69.62
36.09,108.26,72.94
36.88,110.64,66.31
37.64,112.93,62.99
38.42,115.27,66.31
39.27,117.80,69.62
40.12,120.36,72.94
40.92,122.76,66.31
41.71,125.14,69.62
42.52,127.55,76.25
43.36,130.09,66.31
44.15,132.45,66.31
44.92,134.76,72.94
45.71,137.13,82.88
46.47,139.41,82.88
47.29,141.87,86.20
48.13,144.40,79.57
48.96,146.88,72.94
49.78,149.35,72.94
50.56,151.67,86.20
51.35,154.05,86.20
52.11,156.34,72.94
52.89,158.67,79.57
53.67,161.02,76.25
54.44,163.33,76.25
55.26,165.79,62.99
