Frame,Object ID,Class,Confidence,Bounding Box
10.0,10.0_14,car,0.9992099404335022,"[184, 267, 136, 97]"
10.0,10.0_23,person,0.9935302734375,"[523, 421, 77, 51]"
10.0,10.0_55,person,0.9723963737487793,"[550, 152, 32, 37]"
10.0,10.0_49,car,0.9689633250236511,"[115, 114, 76, 43]"
10.0,10.0_17,car,0.9519404768943787,"[229, 407, 137, 67]"
10.0,10.0_39,car,0.946129560470581,"[331, 97, 53, 41]"
10.0,10.0_9,truck,0.9458951354026794,"[526, 192, 72, 75]"
10.0,10.0_36,car,0.935041069984436,"[377, 84, 51, 25]"
10.0,10.0_7,car,0.9048510789871216,"[599, 126, 66, 45]"
10.0,10.0_50,motorbike,0.7675207257270813,"[410, 124, 18, 18]"
10.0,10.0_3,truck,0.6587416529655457,"[571, 100, 60, 47]"
10.0,10.0_48,car,0.644135057926178,"[453, 103, 40, 45]"
10.0,10.0_37,motorbike,0.5832441449165344,"[535, 90, 32, 25]"
10.0,10.0_47,motorbike,0.5217955708503723,"[406, 108, 28, 29]"
20.0,20.0_10,car,0.9979660511016846,"[176, 274, 140, 107]"
20.0,20.0_23,car,0.9742488265037537,"[379, 84, 50, 27]"
20.0,20.0_7,car,0.9606640338897705,"[603, 126, 62, 45]"
20.0,20.0_30,car,0.9572879076004028,"[333, 102, 52, 39]"
20.0,20.0_43,motorbike,0.9501897096633911,"[559, 172, 27, 27]"
20.0,20.0_40,person,0.9381886720657349,"[556, 156, 31, 31]"
20.0,20.0_35,car,0.9110190868377686,"[129, 112, 65, 37]"
20.0,20.0_45,person,0.9053016901016235,"[533, 453, 69, 26]"
20.0,20.0_8,truck,0.8444487452507019,"[526, 196, 76, 77]"
20.0,20.0_37,motorbike,0.8316504955291748,"[406, 118, 27, 29]"
20.0,20.0_33,car,0.7728894352912903,"[453, 107, 40, 40]"
20.0,20.0_12,car,0.7446852922439575,"[211, 442, 143, 34]"
20.0,20.0_34,car,0.6267797946929932,"[570, 104, 60, 42]"
20.0,20.0_27,person,0.5237759351730347,"[409, 101, 30, 29]"
30.0,30.0_8,car,0.999101459980011,"[166, 289, 150, 113]"
30.0,30.0_32,car,0.9617224335670471,"[331, 104, 54, 39]"
30.0,30.0_29,car,0.9527698755264282,"[145, 106, 62, 40]"
30.0,30.0_5,car,0.9430809020996094,"[604, 126, 62, 45]"
30.0,30.0_44,person,0.922664225101471,"[565, 162, 32, 35]"
30.0,30.0_24,car,0.9162359237670898,"[378, 84, 52, 28]"
30.0,30.0_7,truck,0.8879762887954712,"[526, 208, 79, 71]"
30.0,30.0_21,car,0.8019730448722839,"[421, 73, 40, 22]"
30.0,30.0_37,motorbike,0.7548044323921204,"[408, 117, 26, 30]"
30.0,30.0_39,car,0.7105568051338196,"[457, 110, 40, 46]"
30.0,30.0_40,motorbike,0.6895679831504822,"[412, 131, 18, 20]"
30.0,30.0_46,motorbike,0.6841470003128052,"[567, 181, 30, 28]"
30.0,30.0_35,car,0.5877864956855774,"[570, 104, 61, 42]"
40.0,40.0_12,car,0.998792827129364,"[161, 311, 156, 121]"
40.0,40.0_7,car,0.9729052782058716,"[604, 127, 66, 45]"
40.0,40.0_30,car,0.9697825312614441,"[330, 105, 56, 42]"
40.0,40.0_28,car,0.958233118057251,"[153, 105, 62, 36]"
40.0,40.0_22,car,0.9577479958534241,"[377, 83, 54, 32]"
40.0,40.0_45,motorbike,0.9048331379890442,"[576, 181, 32, 34]"
40.0,40.0_20,car,0.8687185049057007,"[424, 75, 39, 20]"
40.0,40.0_8,truck,0.829448938369751,"[532, 209, 74, 80]"
40.0,40.0_36,car,0.7044923305511475,"[456, 112, 42, 46]"
40.0,40.0_37,motorbike,0.7010599970817566,"[410, 131, 19, 21]"
40.0,40.0_34,motorbike,0.6239684224128723,"[408, 118, 28, 29]"
40.0,40.0_32,car,0.6031011343002319,"[573, 103, 57, 41]"
40.0,40.0_41,person,0.5307401418685913,"[576, 165, 35, 29]"
50.0,50.0_16,car,0.996282160282135,"[160, 329, 151, 129]"
50.0,50.0_8,car,0.980261504650116,"[602, 127, 69, 45]"
50.0,50.0_34,car,0.972017765045166,"[159, 99, 65, 37]"
50.0,50.0_32,car,0.966732919216156,"[381, 90, 50, 28]"
50.0,50.0_27,car,0.9529180526733398,"[425, 75, 40, 21]"
50.0,50.0_51,motorbike,0.9514071941375732,"[586, 188, 32, 37]"
50.0,50.0_5,car,0.9206036329269409,"[327, 106, 61, 47]"
50.0,50.0_44,motorbike,0.8902815580368042,"[407, 128, 27, 28]"
50.0,50.0_10,truck,0.7678636908531189,"[534, 213, 76, 84]"
50.0,50.0_49,person,0.7459129691123962,"[584, 171, 34, 36]"
50.0,50.0_43,car,0.681164562702179,"[456, 116, 43, 41]"
50.0,50.0_4,car,0.5664699673652649,"[573, 101, 59, 46]"
50.0,50.0_39,person,0.5369386672973633,"[409, 111, 30, 30]"
60.0,60.0_1,car,0.9930329918861389,"[120, 352, 204, 121]"
60.0,60.0_32,car,0.9888858795166016,"[169, 98, 64, 33]"
60.0,60.0_6,car,0.9764590859413147,"[603, 127, 70, 47]"
60.0,60.0_28,car,0.9494892954826355,"[380, 90, 52, 29]"
60.0,60.0_4,car,0.9366700053215027,"[325, 108, 63, 45]"
60.0,60.0_24,car,0.901627779006958,"[426, 77, 42, 23]"
60.0,60.0_47,motorbike,0.8407860398292542,"[595, 197, 31, 38]"
60.0,60.0_45,person,0.8057060241699219,"[592, 178, 37, 44]"
60.0,60.0_41,motorbike,0.7676622867584229,"[405, 136, 28, 28]"
60.0,60.0_39,car,0.7034281492233276,"[455, 121, 45, 46]"
60.0,60.0_37,motorbike,0.5753830075263977,"[408, 116, 30, 32]"
60.0,60.0_9,truck,0.5728376507759094,"[533, 221, 79, 81]"
60.0,60.0_3,car,0.5081623196601868,"[575, 99, 58, 48]"
70.0,70.0_1,car,0.9928884506225586,"[108, 372, 207, 106]"
70.0,70.0_24,car,0.9905580878257751,"[180, 98, 59, 32]"
70.0,70.0_6,car,0.9681783318519592,"[606, 126, 66, 47]"
