Density,Accuracy
53.046,0.047923
56.361,0.047771
56.361,0.047619
56.361,0.047468
53.046,0.047319
56.361,0.04717
56.361,0.047022
56.361,0.046875
53.046,0.046729
53.046,0.046584
56.361,0.04644
56.361,0.046296
49.731,0.046154
53.046,0.046012
49.731,0.045872
49.731,0.045732
53.046,0.045593
56.361,0.045455
56.361,0.045317
53.046,0.045181
49.731,0.045045
53.046,0.04491
53.046,0.044776
49.731,0.044643
49.731,0.04451
59.677,0.044379
56.361,0.044248
59.677,0.044118
59.677,0.043988
59.677,0.04386
59.677,0.043732
53.046,0.043605
53.046,0.043478
53.046,0.043353
53.046,0.043228
49.731,0.043103
43.1,0.04298
39.785,0.042857
43.1,0.042735
46.415,0.042621
39.785,0.042484
46.415,0.042342
46.415,0.042222
46.415,0.042107
49.731,0.041993
49.731,0.04188
53.046,0.041767
46.415,0.041655
49.731,0.041543
49.731,0.041432
53.046,0.041322
53.046,0.041211
49.731,0.041101
53.046,0.040991
56.361,0.040882
59.677,0.040773
59.677,0.040665
56.361,0.040556
59.677,0.040447
53.046,0.040339
53.046,0.040231
59.677,0.040123
56.361,0.040016
56.361,0.039909
56.361,0.039802
