Time, Density
0.00, 33.15
0.00, 33.15
0.87, 36.47
1.75, 23.21
2.61, 26.52
3.46, 33.15
4.35, 33.15
5.20, 29.84
6.05, 36.47
6.90, 43.10
8.03, 39.78
8.84, 46.42
9.72, 29.84
10.57, 19.89
11.41, 19.89
12.26, 29.84
13.08, 26.52
13.88, 29.84
14.68, 29.84
15.49, 29.84
16.27, 29.84
17.04, 33.15
17.89, 33.15
18.73, 29.84
19.55, 36.47
20.43, 33.15
21.24, 36.47
22.09, 23.21
22.91, 23.21
23.76, 26.52
24.54, 23.21
25.36, 23.21
26.17, 19.89
26.99, 23.21
27.81, 29.84
28.67, 39.78
29.52, 43.10
30.30, 39.78
31.06, 39.78
31.85, 33.15
32.64, 33.15
33.40, 26.52
34.15, 23.21
34.92, 29.84
35.70, 29.84
36.47, 36.47
37.31, 29.84
38.08, 26.52
38.84, 19.89
39.66, 29.84
40.47, 33.15
41.25, 26.52
42.06, 26.52
42.90, 26.52
43.70, 16.58
44.51, 23.21
45.32, 13.26
46.09, 13.26
46.90, 19.89
47.72, 19.89
48.53, 19.89
49.34, 19.89
50.16, 23.21
50.95, 16.58
51.74, 16.58
52.52, 9.95
53.32, 13.26
54.12, 19.89
54.97, 19.89
55.86, 23.21
56.81, 19.89
57.61, 23.21
58.40, 29.84
59.23, 29.84
60.03, 26.52
60.85, 26.52
61.67, 29.84
62.45, 23.21
63.29, 23.21
64.10, 26.52
