Frame,Object ID,Class,Confidence,Bounding Box
10.0,10.0_15,car,0.997737467288971,"[447, 336, 108, 109]"
10.0,10.0_33,car,0.9951806664466858,"[376, 177, 33, 27]"
10.0,10.0_41,car,0.9923668503761292,"[375, 210, 44, 38]"
10.0,10.0_6,car,0.9887179732322693,"[177, 275, 92, 72]"
10.0,10.0_47,car,0.985419750213623,"[449, 220, 50, 43]"
10.0,10.0_31,car,0.9745320677757263,"[448, 159, 29, 19]"
10.0,10.0_39,car,0.9681696891784668,"[299, 202, 49, 44]"
10.0,10.0_25,car,0.8715004920959473,"[361, 153, 29, 21]"
10.0,10.0_53,motorbike,0.8684567809104919,"[422, 263, 23, 38]"
10.0,10.0_55,car,0.8354318141937256,"[303, 452, 104, 26]"
10.0,10.0_30,car,0.7493101954460144,"[399, 162, 26, 18]"
10.0,10.0_18,car,0.7421547770500183,"[408, 135, 25, 16]"
10.0,10.0_23,car,0.6985378861427307,"[438, 144, 20, 13]"
10.0,10.0_24,car,0.6347798109054565,"[622, 130, 46, 43]"
10.0,10.0_46,person,0.6307380199432373,"[259, 226, 18, 38]"
10.0,10.0_20,car,0.5883601903915405,"[279, 141, 27, 21]"
10.0,10.0_16,car,0.550620436668396,"[576, 108, 24, 16]"
10.0,10.0_22,car,0.5413011312484741,"[410, 143, 21, 16]"
20.0,20.0_39,car,0.9924094676971436,"[372, 184, 35, 30]"
20.0,20.0_5,car,0.990678608417511,"[451, 237, 62, 45]"
20.0,20.0_16,car,0.9882544875144958,"[471, 386, 125, 90]"
20.0,20.0_8,car,0.9860788583755493,"[144, 304, 98, 79]"
20.0,20.0_27,car,0.9855099320411682,"[356, 161, 30, 18]"
20.0,20.0_47,car,0.9816693663597107,"[371, 225, 48, 42]"
20.0,20.0_43,car,0.9668316841125488,"[288, 212, 52, 46]"
20.0,20.0_32,car,0.9398639798164368,"[450, 161, 28, 24]"
20.0,20.0_33,car,0.8506765961647034,"[392, 168, 30, 18]"
20.0,20.0_60,motorbike,0.8314727544784546,"[427, 292, 27, 54]"
20.0,20.0_21,car,0.7897703051567078,"[438, 146, 20, 14]"
20.0,20.0_22,car,0.6695538759231567,"[619, 132, 45, 37]"
20.0,20.0_17,car,0.6508756279945374,"[357, 125, 23, 13]"
20.0,20.0_18,car,0.6434772610664368,"[408, 136, 26, 13]"
20.0,20.0_53,motorbike,0.6429387927055359,"[245, 244, 21, 40]"
20.0,20.0_26,car,0.5805844068527222,"[410, 152, 22, 14]"
20.0,20.0_20,car,0.5795502662658691,"[406, 145, 25, 15]"
20.0,20.0_58,person,0.5284828543663025,"[426, 285, 29, 30]"
30.0,30.0_5,car,0.9929375052452087,"[455, 254, 69, 50]"
30.0,30.0_26,car,0.9901177883148193,"[369, 191, 38, 34]"
30.0,30.0_21,car,0.9883412718772888,"[449, 170, 33, 24]"
30.0,30.0_17,car,0.9757413864135742,"[348, 160, 32, 25]"
30.0,30.0_20,car,0.9704989194869995,"[387, 168, 32, 25]"
30.0,30.0_33,car,0.9659242630004883,"[366, 242, 52, 46]"
30.0,30.0_30,car,0.9075539708137512,"[281, 221, 50, 52]"
30.0,30.0_40,motorbike,0.8017265200614929,"[229, 260, 22, 43]"
30.0,30.0_9,motorbike,0.7794936299324036,"[432, 335, 39, 83]"
30.0,30.0_14,car,0.636371374130249,"[611, 129, 43, 39]"
30.0,30.0_13,car,0.5397082567214966,"[279, 142, 25, 20]"
40.0,40.0_32,car,0.9956579804420471,"[449, 176, 37, 28]"
40.0,40.0_5,car,0.9946744441986084,"[355, 262, 71, 56]"
40.0,40.0_35,car,0.9917529821395874,"[364, 200, 42, 36]"
40.0,40.0_10,car,0.9851410388946533,"[469, 275, 72, 62]"
40.0,40.0_31,car,0.9840375185012817,"[383, 174, 32, 28]"
40.0,40.0_3,car,0.9705849885940552,"[263, 234, 60, 53]"
40.0,40.0_28,car,0.9674107432365417,"[342, 168, 31, 24]"
40.0,40.0_18,car,0.9246087670326233,"[602, 126, 47, 39]"
40.0,40.0_43,motorbike,0.8391984701156616,"[209, 287, 24, 44]"
40.0,40.0_16,person,0.8025307655334473,"[448, 405, 50, 68]"
40.0,40.0_25,car,0.6663517355918884,"[417, 147, 37, 25]"
40.0,40.0_26,car,0.6286470890045166,"[666, 149, 31, 29]"
40.0,40.0_17,car,0.509493887424469,"[585, 110, 24, 16]"
50.0,50.0_4,car,0.9974030256271362,"[360, 290, 69, 63]"
50.0,50.0_22,car,0.9916619658470154,"[378, 182, 35, 29]"
50.0,50.0_23,car,0.990339994430542,"[451, 184, 36, 29]"
50.0,50.0_28,car,0.9893189668655396,"[363, 210, 43, 38]"
50.0,50.0_20,car,0.9866153597831726,"[333, 173, 34, 25]"
50.0,50.0_6,car,0.9820234775543213,"[478, 300, 87, 77]"
50.0,50.0_34,motorbike,0.8998590111732483,"[185, 312, 28, 51]"
50.0,50.0_16,car,0.879546582698822,"[660, 148, 36, 28]"
50.0,50.0_0,car,0.8752346634864807,"[249, 243, 64, 63]"
50.0,50.0_12,car,0.807354748249054,"[598, 126, 47, 37]"
50.0,50.0_17,car,0.7729605436325073,"[417, 162, 29, 18]"
60.0,60.0_5,car,0.9971327781677246,"[352, 322, 89, 81]"
60.0,60.0_25,car,0.992078959941864,"[325, 177, 37, 29]"
60.0,60.0_32,car,0.9914114475250244,"[452, 194, 37, 31]"
60.0,60.0_30,car,0.9856770634651184,"[372, 191, 39, 30]"
60.0,60.0_36,car,0.9809340238571167,"[361, 223, 47, 39]"
60.0,60.0_11,car,0.9639960527420044,"[506, 337, 92, 94]"
60.0,60.0_21,car,0.9519078731536865,"[651, 149, 37, 26]"
60.0,60.0_22,car,0.88511723279953,"[415, 158, 33, 26]"
60.0,60.0_16,car,0.8648841977119446,"[597, 127, 40, 35]"
60.0,60.0_1,car,0.8168726563453674,"[225, 265, 72, 67]"
60.0,60.0_20,car,0.6730336546897888,"[392, 153, 24, 18]"
70.0,70.0_10,car,0.9945108294487,"[359, 368, 95, 104]"
70.0,70.0_30,car,0.9944104552268982,"[370, 197, 40, 36]"
70.0,70.0_27,car,0.9931693077087402,"[317, 186, 40, 28]"
70.0,70.0_15,car,0.9902015924453735,"[531, 388, 128, 90]"
70.0,70.0_34,car,0.9886398911476135,"[453, 206, 43, 34]"
70.0,70.0_4,car,0.9780470728874207,"[210, 280, 85, 80]"
70.0,70.0_26,car,0.9746742248535156,"[416, 166, 31, 27]"
70.0,70.0_38,car,0.9728280901908875,"[362, 234, 46, 41]"
70.0,70.0_25,car,0.8459563851356506,"[391, 162, 24, 17]"
70.0,70.0_24,car,0.81075119972229,"[646, 147, 35, 27]"
70.0,70.0_17,car,0.8105722069740295,"[593, 126, 38, 37]"
70.0,70.0_16,car,0.6900743246078491,"[447, 133, 27, 17]"
70.0,70.0_23,car,0.6039748787879944,"[391, 152, 25, 17]"
70.0,70.0_22,car,0.5492828488349915,"[280, 150, 25, 20]"
70.0,70.0_18,car,0.5059940814971924,"[410, 144, 28, 16]"
80.0,80.0_39,car,0.9914212822914124,"[453, 218, 51, 38]"
80.0,80.0_37,car,0.9913600087165833,"[363, 207, 44, 37]"
80.0,80.0_35,car,0.99009770154953,"[308, 193, 43, 30]"
80.0,80.0_31,car,0.9805958271026611,"[417, 174, 29, 29]"
80.0,80.0_10,car,0.9774172306060791,"[185, 308, 92, 93]"
80.0,80.0_45,car,0.9752802848815918,"[362, 249, 50, 48]"
80.0,80.0_15,car,0.9146576523780823,"[367, 434, 101, 41]"
80.0,80.0_25,car,0.8507897853851318,"[388, 160, 24, 20]"
80.0,80.0_23,car,0.8135437965393066,"[635, 146, 38, 27]"
80.0,80.0_22,car,0.7537577748298645,"[408, 153, 26, 16]"
80.0,80.0_33,car,0.6566025018692017,"[672, 183, 28, 27]"
80.0,80.0_28,car,0.6108912229537964,"[665, 161, 29, 24]"
80.0,80.0_18,car,0.6076679825782776,"[408, 145, 24, 15]"
80.0,80.0_21,car,0.5661699175834656,"[278, 149, 29, 24]"
80.0,80.0_16,car,0.5577177405357361,"[448, 135, 25, 18]"
80.0,80.0_17,car,0.5311025381088257,"[384, 146, 23, 14]"
90.0,90.0_27,car,0.9931145906448364,"[354, 217, 51, 41]"
90.0,90.0_23,car,0.9911048412322998,"[416, 182, 36, 31]"
90.0,90.0_4,car,0.9878690242767334,"[162, 332, 105, 122]"
